video_summary,result
"A trading expert shares a simple technique for consistent profits in forex trading, focusing on the Current Market Price (CMP) and zone identification. The technique involves dividing the chart into two parts, with the left side being the zone and the right side being the CMP. Instead of entering a trade immediately when the price enters the zone, the expert recommends filtering the entry at a smaller time frame, such as M30, to wait for a breakout or fake out. The goal is to wait for the price to fail and then enter a sell trade when the price re-enters the zone. The expert also shares a personal strategy using two engulfing candles (enguf) to confirm the entry. By applying this CMP technique, traders can achieve consistency in their trading results.","{'category': 'Scam', 'subcategory': 'Forex'}"
"A video sequence shows various scenes, including a man standing in the dark with a cell phone, followed by images of trucks, a boat, and a man standing next to a fence. The sequence then shifts to a man riding a bike on a dirt road, interspersed with images of the road, trees, and a bird in a tree. Later scenes show a man riding a horse in different settings, followed by images of people riding a motorcycle and cars driving on dirt roads.","{'category': 'ATIPSOM', 'subcategory': 'Not Related'}"
"A series of images shows a man, likely Jerome Powell, speaking at a podium, with some shots featuring flags behind him, indicating a formal setting, possibly a press conference or speech, interspersed with close-up shots of computer screens displaying financial charts and graphs, suggesting a discussion on economic topics, specifically stock market and forex trading.","{'category': 'Scam', 'subcategory': 'Forex'}"
"A series of screenshots display various charts, primarily showing time of day, with some featuring bar and line charts, and forex indicators on both computers and phones, which appear to be related to trading and market analysis, specifically XAUUSD, with a mention of a strategy to buy high and sell low.","{'category': 'Scam', 'subcategory': 'Forex'}"
"The provided content appears to be a series of captions for a video, likely a tutorial or promotional material for a trading technique, with a focus on Forex and gold trading. The captions describe a close-up shot of a cell phone or computer screen displaying various graphs, charts, and text messages, suggesting that the video is demonstrating a trading technique or strategy. The use of hashtags such as #trader, #forextrader, #goldtrader, and #tradingforex indicates that the content is targeted towards individuals interested in trading and investing.","{'category': 'Scam', 'subcategory': 'Forex'}"
"The content appears to be a video tutorial on how to use trading signals in forex, specifically in the Malaysian market. The speaker explains how to interpret and use the signals provided in a group, including how to set entry and exit points, manage risk, and use stop-loss orders. The speaker emphasizes the importance of using a trading system to control losses and highlights the use of a specific indicator, the ""hub indicator,"" which provides 100% accurate signals. The tutorial also covers how to set take-profit levels and manage risk, with the speaker providing examples of how to use the signals in a trading scenario.","{'category': 'Scam', 'subcategory': 'Forex'}"
"This content appears to be a series of captions for a video, likely a tutorial or presentation on trading, specifically on FCPO, which is the Bursa Malaysia Crude Palm Oil futures contract. The captions show a woman, sometimes wearing a hijab, standing in front of a blackboard or whiteboard, writing with a marker or chalk. The background often features a pink light or wall. The content also includes a description of three trading sessions for FCPO, which are from 10:30 am to 12:30 pm, 2:30 pm to 6:00 pm, and 9:00 pm to 11:00 pm. The speaker suggests that these sessions are suitable for individuals with flexible schedules, such as those who are self-employed, retired, or have resigned from their jobs.","{'category': 'Scam', 'subcategory': 'Forex'}"
"A social media post showcases a person's successful forex trading experience, with screenshots and close-ups of their cellphone displaying food and money, symbolizing their profits. The user expresses excitement and satisfaction, mentioning they achieved this in just five days. The post is tagged with various forex-related hashtags, including #forextrading, #forexmalaysia, and #forexlifestyle, indicating the user's involvement in the Malaysian forex trading community.","{'category': 'Scam', 'subcategory': 'Forex'}"
"The video discusses the price movement of gold, specifically the possibility of it reaching a new all-time high or dropping further. The creator, who claims to have correctly predicted a 900p drop in gold, explains that this drop is part of a larger correction wave, consisting of waves A, B, and C. They believe that once wave C is complete, gold will likely continue its upward trend, with a potential target price of around 2710, offering a 500p gain. Alternatively, if the correction wave is not complete, gold may drop further to around 2630 or 2620, presenting a buying opportunity. The creator also mentions the possibility of a breakout above 2770, which could lead to a new all-time high, offering a potential gain of 1100p.","{'category': 'Scam', 'subcategory': 'Gold'}"
"A woman is shown holding a cell phone and checking various messages, graphs, and images throughout the video. She is seen in different locations, including a beach, a bar, and a restaurant, and is often shown smiling and interacting with her phone. The video also shows people at a beach bar, swimming, and watching the sunset. The woman is later shown standing in front of a stone wall, holding her phone and smiling, before the scene cuts to a man riding a motorcycle at night. The video ends with a close-up of a person walking near a parked car and a man standing next to a car in a parking lot. The audio is in Malay and appears to be a trading update, with the speaker congratulating their students on making a profit and announcing their own plans to withdraw and enjoy time with their family in Bali.","{'category': 'Scam', 'subcategory': 'Forex'}"
