_id,subcategory,video_summary,video_description,transcription,risk_status,justification,combined_text
673310167674d968477b6544,"Personal Preferences, Relationship Deal Breakers, Technology in Dating","This video appears to be an interview between the host and a guest named Arshad, with the host asking Arshad about his preferences and red flags in women. Arshad jokingly responds that his biggest red flag is a woman who uses a micro USB, preferring those who use the newer Type-C, symbolizing a more modern and adaptable person. The conversation is lighthearted and humorous, with the host playfully teasing Arshad about his preferences and Arshad responding with witty remarks, including a humorous exchange about using HDMI cables.","[{""time"": 0.0, ""caption"": ""there are two men standing next to each other talking on their cell phones""}, {""time"": 1.0, ""caption"": ""there are two men standing next to each other in front of a building""}, {""time"": 2.0, ""caption"": ""two men standing next to each other in front of a building""}, {""time"": 3.0, ""caption"": ""there are two men standing on a sidewalk talking to each other""}, {""time"": 4.0, ""caption"": ""they are standing on the sidewalk talking to each other""}, {""time"": 5.0, ""caption"": ""there are two men standing together talking in the city""}, {""time"": 6.0, ""caption"": ""a close up of a television screen with a colorful pattern""}, {""time"": 7.0, ""caption"": ""there are two people standing in front of a building with a car""}, {""time"": 8.0, ""caption"": ""they are standing in front of a building with a car in the background""}, {""time"": 9.0, ""caption"": ""there are two people standing together talking in a city""}, {""time"": 10.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 11.0, ""caption"": ""there is a man standing in front of a building talking on a cell phone""}, {""time"": 12.0, ""caption"": ""there are two men standing next to each other in the street""}, {""time"": 13.0, ""caption"": ""there are two men standing next to each other on the street""}, {""time"": 14.0, ""caption"": ""they are standing in a city at night talking to each other""}, {""time"": 15.0, ""caption"": ""arafed image of two people standing in front of a building""}, {""time"": 16.0, ""caption"": ""there are two men standing next to each other in the city""}, {""time"": 17.0, ""caption"": ""there are two men standing together talking and smiling in a building""}, {""time"": 18.0, ""caption"": ""there are two men standing next to each other in a building""}, {""time"": 19.0, ""caption"": ""there are two men standing next to each other talking on the phone""}, {""time"": 20.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 21.0, ""caption"": ""a close up of two people standing next to each other""}, {""time"": 22.0, ""caption"": ""two men standing next to each other in front of a building""}, {""time"": 23.0, ""caption"": ""there are two people standing in a building talking on their cell phones""}, {""time"": 24.0, ""caption"": ""they are standing in a city street at night talking""}, {""time"": 25.0, ""caption"": ""there are two men standing in a city street talking to each other""}, {""time"": 26.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 27.0, ""caption"": ""two men standing next to each other in a city at night""}, {""time"": 28.0, ""caption"": ""there are two men standing on the sidewalk talking to each other""}, {""time"": 29.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 30.0, ""caption"": ""they are standing on a sidewalk in the city at night""}, {""time"": 31.0, ""caption"": ""two men standing in front of a building with a building in the background""}, {""time"": 32.0, ""caption"": ""two men standing in front of a building with a building in the background""}, {""time"": 33.0, ""caption"": ""arafed image of a man and a woman talking to each other""}, {""time"": 34.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 35.0, ""caption"": ""two men standing next to each other in front of a building""}, {""time"": 36.0, ""caption"": ""they are two men standing outside talking and drinking wine""}, {""time"": 37.0, ""caption"": ""there are two men standing outside talking to each other""}, {""time"": 38.0, ""caption"": ""there are two people standing next to each other talking""}, {""time"": 39.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 40.0, ""caption"": ""two men standing next to each other talking to each other""}, {""time"": 41.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 42.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 43.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 44.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 45.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 46.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 47.0, ""caption"": ""arafed image of two men standing in front of a building""}, {""time"": 48.0, ""caption"": ""there are two people standing in a building talking to each other""}, {""time"": 49.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 50.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 51.0, ""caption"": ""there is a man and woman standing together talking in a building""}, {""time"": 52.0, ""caption"": ""there is a man and woman standing together talking in a building""}, {""time"": 53.0, ""caption"": ""there are two men standing next to each other in a building""}, {""time"": 54.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 55.0, ""caption"": ""there are two men standing next to each other holding a bottle""}, {""time"": 56.0, ""caption"": ""there are two men standing next to each other holding hands""}, {""time"": 57.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 58.0, ""caption"": ""they are two people standing in a building talking to each other""}, {""time"": 59.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 60.0, ""caption"": ""they are standing in a city square talking to each other""}, {""time"": 61.0, ""caption"": ""there are two men standing in a city street talking""}, {""time"": 62.0, ""caption"": ""there are two men standing in front of a building talking""}, {""time"": 63.0, ""caption"": ""there are two men standing next to each other talking on cell phones""}, {""time"": 64.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 65.0, ""caption"": ""they are standing in the street talking to each other""}, {""time"": 66.0, ""caption"": ""they are standing in the street with their cell phones in their hands""}, {""time"": 67.0, ""caption"": ""they are walking in the city at night with their cell phones""}, {""time"": 68.0, ""caption"": ""there are two men standing next to each other talking on cell phones""}, {""time"": 69.0, ""caption"": ""there are two people standing next to each other in the city""}, {""time"": 70.0, ""caption"": ""there are two people standing next to each other in a city""}, {""time"": 71.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 72.0, ""caption"": ""two men standing next to each other in front of a building""}, {""time"": 73.0, ""caption"": ""two men standing next to each other in a city""}, {""time"": 74.0, ""caption"": ""they are two men standing next to each other in a building""}, {""time"": 75.0, ""caption"": ""there is a man standing in a room talking on a cell phone""}, {""time"": 76.0, ""caption"": ""there is a man that is talking on a cell phone""}, {""time"": 77.0, ""caption"": ""there is a man standing in front of a building with his hands up""}, {""time"": 78.0, ""caption"": ""they are two men standing outside talking and holding a bottle of beer""}, {""time"": 79.0, ""caption"": ""they are standing in a city street at night talking on their cell phones""}, {""time"": 80.0, ""caption"": ""a close up of a television screen with a colorful pattern""}]","Reflek saya, saya tak suka perempuan. Panggil! Bukan, saya tak cabis cakap lagi. Oh, tak cabis. Tak cabis! Alright guys, back at it again with Arshad. Arshad. Panggil Arshad boleh bang? Boleh boleh. Okay, bang Arshad.  Bang Syad, sekarang dah ada kakasih ke belum? Dah ada dah, Alhamdulillah. Sekarang saya nak tanya, apakah red flag yang paling Bang Syad tak suka sekali dekat perempuan? Siapa yang Bang Syad? Macam saya, saya tak suka perempuan. Abang gear! Saya tak habis cakap lagi. Oh, okay sorry. Red flag seorang perempuan yang paling saya tak suka sekali adalah bila dia orang pakai type M. Type M? Apa tu? Apa tu? Micro USB. Sekarang kan pakai type C. So, saya suka perempuan yang pakai type C.  Kenapa? Kenapa abang suka Type-C? So, macam Type-C ni lebih baru lah orang kata. Macam orang sekarang boleh guna Type-C. Faham, faham, faham. Kenapa? Abang tak setuju ke macam saya? Abang guna kabel lain ke? Oh, saya lain. Saya lain. Saya lain. Abang guna kabel apa bang? Saya HDMI. HDMI? Penyakit apa tu bang? Itu bukan penyakit. Oh, HDMI kabel ke? Yang besar tu kan? Ya, betul, yang besar tu. Kabel car?  ok terima kasih bang Syed ok sekarang kita dah tahu eh bahawa sebenarnya red flag seorang wanita tu tau bila dia dah type-type takpe dia tak kira-kira nak send lepas tu dah lah tak nak send malam tak kira-kira nak call lepas tu besok bangun pagi terus hilang lepas tu dah hilang buat-buat tak tahu je",,,"Personal Preferences, Relationship Deal Breakers, Technology in Dating This video appears to be an interview between the host and a guest named Arshad, with the host asking Arshad about his preferences and red flags in women. Arshad jokingly responds that his biggest red flag is a woman who uses a micro USB, preferring those who use the newer Type-C, symbolizing a more modern and adaptable person. The conversation is lighthearted and humorous, with the host playfully teasing Arshad about his preferences and Arshad responding with witty remarks, including a humorous exchange about using HDMI cables. [{""time"": 0.0, ""caption"": ""there are two men standing next to each other talking on their cell phones""}, {""time"": 1.0, ""caption"": ""there are two men standing next to each other in front of a building""}, {""time"": 2.0, ""caption"": ""two men standing next to each other in front of a building""}, {""time"": 3.0, ""caption"": ""there are two men standing on a sidewalk talking to each other""}, {""time"": 4.0, ""caption"": ""they are standing on the sidewalk talking to each other""}, {""time"": 5.0, ""caption"": ""there are two men standing together talking in the city""}, {""time"": 6.0, ""caption"": ""a close up of a television screen with a colorful pattern""}, {""time"": 7.0, ""caption"": ""there are two people standing in front of a building with a car""}, {""time"": 8.0, ""caption"": ""they are standing in front of a building with a car in the background""}, {""time"": 9.0, ""caption"": ""there are two people standing together talking in a city""}, {""time"": 10.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 11.0, ""caption"": ""there is a man standing in front of a building talking on a cell phone""}, {""time"": 12.0, ""caption"": ""there are two men standing next to each other in the street""}, {""time"": 13.0, ""caption"": ""there are two men standing next to each other on the street""}, {""time"": 14.0, ""caption"": ""they are standing in a city at night talking to each other""}, {""time"": 15.0, ""caption"": ""arafed image of two people standing in front of a building""}, {""time"": 16.0, ""caption"": ""there are two men standing next to each other in the city""}, {""time"": 17.0, ""caption"": ""there are two men standing together talking and smiling in a building""}, {""time"": 18.0, ""caption"": ""there are two men standing next to each other in a building""}, {""time"": 19.0, ""caption"": ""there are two men standing next to each other talking on the phone""}, {""time"": 20.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 21.0, ""caption"": ""a close up of two people standing next to each other""}, {""time"": 22.0, ""caption"": ""two men standing next to each other in front of a building""}, {""time"": 23.0, ""caption"": ""there are two people standing in a building talking on their cell phones""}, {""time"": 24.0, ""caption"": ""they are standing in a city street at night talking""}, {""time"": 25.0, ""caption"": ""there are two men standing in a city street talking to each other""}, {""time"": 26.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 27.0, ""caption"": ""two men standing next to each other in a city at night""}, {""time"": 28.0, ""caption"": ""there are two men standing on the sidewalk talking to each other""}, {""time"": 29.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 30.0, ""caption"": ""they are standing on a sidewalk in the city at night""}, {""time"": 31.0, ""caption"": ""two men standing in front of a building with a building in the background""}, {""time"": 32.0, ""caption"": ""two men standing in front of a building with a building in the background""}, {""time"": 33.0, ""caption"": ""arafed image of a man and a woman talking to each other""}, {""time"": 34.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 35.0, ""caption"": ""two men standing next to each other in front of a building""}, {""time"": 36.0, ""caption"": ""they are two men standing outside talking and drinking wine""}, {""time"": 37.0, ""caption"": ""there are two men standing outside talking to each other""}, {""time"": 38.0, ""caption"": ""there are two people standing next to each other talking""}, {""time"": 39.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 40.0, ""caption"": ""two men standing next to each other talking to each other""}, {""time"": 41.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 42.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 43.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 44.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 45.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 46.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 47.0, ""caption"": ""arafed image of two men standing in front of a building""}, {""time"": 48.0, ""caption"": ""there are two people standing in a building talking to each other""}, {""time"": 49.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 50.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 51.0, ""caption"": ""there is a man and woman standing together talking in a building""}, {""time"": 52.0, ""caption"": ""there is a man and woman standing together talking in a building""}, {""time"": 53.0, ""caption"": ""there are two men standing next to each other in a building""}, {""time"": 54.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 55.0, ""caption"": ""there are two men standing next to each other holding a bottle""}, {""time"": 56.0, ""caption"": ""there are two men standing next to each other holding hands""}, {""time"": 57.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 58.0, ""caption"": ""they are two people standing in a building talking to each other""}, {""time"": 59.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 60.0, ""caption"": ""they are standing in a city square talking to each other""}, {""time"": 61.0, ""caption"": ""there are two men standing in a city street talking""}, {""time"": 62.0, ""caption"": ""there are two men standing in front of a building talking""}, {""time"": 63.0, ""caption"": ""there are two men standing next to each other talking on cell phones""}, {""time"": 64.0, ""caption"": ""there are two men standing next to each other talking""}, {""time"": 65.0, ""caption"": ""they are standing in the street talking to each other""}, {""time"": 66.0, ""caption"": ""they are standing in the street with their cell phones in their hands""}, {""time"": 67.0, ""caption"": ""they are walking in the city at night with their cell phones""}, {""time"": 68.0, ""caption"": ""there are two men standing next to each other talking on cell phones""}, {""time"": 69.0, ""caption"": ""there are two people standing next to each other in the city""}, {""time"": 70.0, ""caption"": ""there are two people standing next to each other in a city""}, {""time"": 71.0, ""caption"": ""there are two men standing next to each other in a city""}, {""time"": 72.0, ""caption"": ""two men standing next to each other in front of a building""}, {""time"": 73.0, ""caption"": ""two men standing next to each other in a city""}, {""time"": 74.0, ""caption"": ""they are two men standing next to each other in a building""}, {""time"": 75.0, ""caption"": ""there is a man standing in a room talking on a cell phone""}, {""time"": 76.0, ""caption"": ""there is a man that is talking on a cell phone""}, {""time"": 77.0, ""caption"": ""there is a man standing in front of a building with his hands up""}, {""time"": 78.0, ""caption"": ""they are two men standing outside talking and holding a bottle of beer""}, {""time"": 79.0, ""caption"": ""they are standing in a city street at night talking on their cell phones""}, {""time"": 80.0, ""caption"": ""a close up of a television screen with a colorful pattern""}] Reflek saya, saya tak suka perempuan. Panggil! Bukan, saya tak cabis cakap lagi. Oh, tak cabis. Tak cabis! Alright guys, back at it again with Arshad. Arshad. Panggil Arshad boleh bang? Boleh boleh. Okay, bang Arshad.  Bang Syad, sekarang dah ada kakasih ke belum? Dah ada dah, Alhamdulillah. Sekarang saya nak tanya, apakah red flag yang paling Bang Syad tak suka sekali dekat perempuan? Siapa yang Bang Syad? Macam saya, saya tak suka perempuan. Abang gear! Saya tak habis cakap lagi. Oh, okay sorry. Red flag seorang perempuan yang paling saya tak suka sekali adalah bila dia orang pakai type M. Type M? Apa tu? Apa tu? Micro USB. Sekarang kan pakai type C. So, saya suka perempuan yang pakai type C.  Kenapa? Kenapa abang suka Type-C? So, macam Type-C ni lebih baru lah orang kata. Macam orang sekarang boleh guna Type-C. Faham, faham, faham. Kenapa? Abang tak setuju ke macam saya? Abang guna kabel lain ke? Oh, saya lain. Saya lain. Saya lain. Abang guna kabel apa bang? Saya HDMI. HDMI? Penyakit apa tu bang? Itu bukan penyakit. Oh, HDMI kabel ke? Yang besar tu kan? Ya, betul, yang besar tu. Kabel car?  ok terima kasih bang Syed ok sekarang kita dah tahu eh bahawa sebenarnya red flag seorang wanita tu tau bila dia dah type-type takpe dia tak kira-kira nak send lepas tu dah lah tak nak send malam tak kira-kira nak call lepas tu besok bangun pagi terus hilang lepas tu dah hilang buat-buat tak tahu je"
673310177674d968477b6549,"Visual Appearance, Scenes and Settings, Characters and Interactions","A woman wearing a hat and glasses is shown in various scenes, including holding a cell phone and being in a car, with a man briefly appearing on a phone call.","[{""time"": 0.0, ""caption"": ""there is a woman wearing a hat and glasses holding a cell phone""}, {""time"": 1.0, ""caption"": ""there is a woman wearing a hat and glasses holding a cell phone""}, {""time"": 2.0, ""caption"": ""there is a man with glasses and a hat on talking on a cell phone""}, {""time"": 3.0, ""caption"": ""there is a woman wearing a hat and glasses in a car""}, {""time"": 4.0, ""caption"": ""there is a woman wearing glasses and a hat with a purple ribbon""}]",,,,"Visual Appearance, Scenes and Settings, Characters and Interactions A woman wearing a hat and glasses is shown in various scenes, including holding a cell phone and being in a car, with a man briefly appearing on a phone call. [{""time"": 0.0, ""caption"": ""there is a woman wearing a hat and glasses holding a cell phone""}, {""time"": 1.0, ""caption"": ""there is a woman wearing a hat and glasses holding a cell phone""}, {""time"": 2.0, ""caption"": ""there is a man with glasses and a hat on talking on a cell phone""}, {""time"": 3.0, ""caption"": ""there is a woman wearing a hat and glasses in a car""}, {""time"": 4.0, ""caption"": ""there is a woman wearing glasses and a hat with a purple ribbon""}]"
673310197674d968477b6550,"Mobile Gaming, Social Interaction, Home Entertainment","A woman sits at a desk with a cell phone, then moves to a table, before two women are shown sitting on a couch playing a video game together, with the scene repeating the same scenario of the two women or two people gaming together on the couch.","[{""time"": 0.0, ""caption"": ""there is a woman sitting at a desk with a cell phone""}, {""time"": 1.0, ""caption"": ""there is a woman sitting at a desk with a cell phone""}, {""time"": 2.0, ""caption"": ""there is a woman sitting at a desk with a cell phone""}, {""time"": 3.0, ""caption"": ""there is a woman sitting at a table with a cell phone""}, {""time"": 4.0, ""caption"": ""they are two women sitting on a couch playing a video game""}, {""time"": 5.0, ""caption"": ""they are two women sitting on a couch playing a video game""}, {""time"": 6.0, ""caption"": ""they are two people playing a video game together on the couch""}, {""time"": 7.0, ""caption"": ""they are two women sitting on a couch playing a video game""}, {""time"": 8.0, ""caption"": ""they are two people sitting on a couch playing a video game""}, {""time"": 9.0, ""caption"": ""they are two women sitting on a couch playing a video game""}]",,,,"Mobile Gaming, Social Interaction, Home Entertainment A woman sits at a desk with a cell phone, then moves to a table, before two women are shown sitting on a couch playing a video game together, with the scene repeating the same scenario of the two women or two people gaming together on the couch. [{""time"": 0.0, ""caption"": ""there is a woman sitting at a desk with a cell phone""}, {""time"": 1.0, ""caption"": ""there is a woman sitting at a desk with a cell phone""}, {""time"": 2.0, ""caption"": ""there is a woman sitting at a desk with a cell phone""}, {""time"": 3.0, ""caption"": ""there is a woman sitting at a table with a cell phone""}, {""time"": 4.0, ""caption"": ""they are two women sitting on a couch playing a video game""}, {""time"": 5.0, ""caption"": ""they are two women sitting on a couch playing a video game""}, {""time"": 6.0, ""caption"": ""they are two people playing a video game together on the couch""}, {""time"": 7.0, ""caption"": ""they are two women sitting on a couch playing a video game""}, {""time"": 8.0, ""caption"": ""they are two people sitting on a couch playing a video game""}, {""time"": 9.0, ""caption"": ""they are two women sitting on a couch playing a video game""}]"
6733101b7674d968477b6559,"Cultural Identity, Anti-Racism, Social Unity","A video features individuals with blue face paint, including men and a woman, in various scenes, often standing together in a room or in front of a glass door with a sky background, while a Malay-language transcription declares multicultural identity and rejects racism, stating ""We are not racist.","[{""time"": 0.0, ""caption"": ""arafed man with blue face and hat in a room""}, {""time"": 1.0, ""caption"": ""there is a man with a blue face and a hat on""}, {""time"": 2.0, ""caption"": ""there is a man with blue paint on his face and a man with a hat""}, {""time"": 3.0, ""caption"": ""there is a man with blue paint on his face and hands""}, {""time"": 4.0, ""caption"": ""there is a woman with blue makeup and glasses standing next to a man""}, {""time"": 5.0, ""caption"": ""they are two people with blue paint on their faces""}, {""time"": 6.0, ""caption"": ""three men are standing in front of a glass door with blue paint on their faces""}, {""time"": 7.0, ""caption"": ""there are three men standing together in a room with a sky background""}, {""time"": 8.0, ""caption"": ""there are two men standing next to each other in a room""}, {""time"": 9.0, ""caption"": ""there are two men standing next to each other with their hands in the air""}, {""time"": 10.0, ""caption"": ""there are two men standing next to each other in a room""}]",Aku Melayu. Aku India. Aku Cina. Kami tak rasis. Kami tak rasis. Kami tak rasis. Mereka basahkan.,Low,"['1. The content promotes unity and anti-racism, which is a positive message.', '2. The chanting of We are not racist in Malay emphasizes the message of inclusivity and acceptance.']","Cultural Identity, Anti-Racism, Social Unity A video features individuals with blue face paint, including men and a woman, in various scenes, often standing together in a room or in front of a glass door with a sky background, while a Malay-language transcription declares multicultural identity and rejects racism, stating ""We are not racist. [{""time"": 0.0, ""caption"": ""arafed man with blue face and hat in a room""}, {""time"": 1.0, ""caption"": ""there is a man with a blue face and a hat on""}, {""time"": 2.0, ""caption"": ""there is a man with blue paint on his face and a man with a hat""}, {""time"": 3.0, ""caption"": ""there is a man with blue paint on his face and hands""}, {""time"": 4.0, ""caption"": ""there is a woman with blue makeup and glasses standing next to a man""}, {""time"": 5.0, ""caption"": ""they are two people with blue paint on their faces""}, {""time"": 6.0, ""caption"": ""three men are standing in front of a glass door with blue paint on their faces""}, {""time"": 7.0, ""caption"": ""there are three men standing together in a room with a sky background""}, {""time"": 8.0, ""caption"": ""there are two men standing next to each other in a room""}, {""time"": 9.0, ""caption"": ""there are two men standing next to each other with their hands in the air""}, {""time"": 10.0, ""caption"": ""there are two men standing next to each other in a room""}] Aku Melayu. Aku India. Aku Cina. Kami tak rasis. Kami tak rasis. Kami tak rasis. Mereka basahkan. ['1. The content promotes unity and anti-racism, which is a positive message.', '2. The chanting of We are not racist in Malay emphasizes the message of inclusivity and acceptance.']"
