_id,video_description
673ed3912607c1b3803d3042,"[{""time"": 0.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue glove""}, {""time"": 1.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue glove""}, {""time"": 2.0, ""caption"": ""someone is putting blue beads into a metal tray""}, {""time"": 3.0, ""caption"": ""a close up of a person putting blue beads on a metal tray""}, {""time"": 4.0, ""caption"": ""someone is holding a small bottle with a tiny blue substance in it""}, {""time"": 5.0, ""caption"": ""someone is holding a small bottle with a liquid inside of it""}, {""time"": 6.0, ""caption"": ""someone is holding a small glass with a small amount of blue beads""}, {""time"": 7.0, ""caption"": ""someone is holding a small glass with a small blue substance in it""}, {""time"": 8.0, ""caption"": ""a person holding a fan of money in front of a display case""}, {""time"": 9.0, ""caption"": ""a person holding a fan of money in front of a display case""}, {""time"": 10.0, ""caption"": ""a person holding a fan of money in front of a display case""}, {""time"": 11.0, ""caption"": ""someone is holding a small bottle with a small amount of liquid in it""}, {""time"": 12.0, ""caption"": ""someone is holding a blue sponge in front of a small glass jar""}, {""time"": 13.0, ""caption"": ""there is a small glass jar with a blue sponge on it""}, {""time"": 14.0, ""caption"": ""there is a jar with blue beads and a flower in it""}, {""time"": 15.0, ""caption"": ""a close up of a cell phone with a keyboard and a phone number""}, {""time"": 16.0, ""caption"": ""a close up of a cell phone with a text message on it""}, {""time"": 17.0, ""caption"": ""a close up of a cell phone with a text message on it""}, {""time"": 18.0, ""caption"": ""a close up of a cell phone with a text message on it""}, {""time"": 19.0, ""caption"": ""someone is holding a bottle of blue liquid with a blue substance in it""}, {""time"": 20.0, ""caption"": ""someone is putting blue beads on a metal tray with a blue glove""}, {""time"": 21.0, ""caption"": ""someone is putting blue beads on a metal tray with a glass jar""}, {""time"": 22.0, ""caption"": ""a close up of a cell phone with a message on it""}, {""time"": 23.0, ""caption"": ""a close up of a cell phone with a price tag on it""}, {""time"": 24.0, ""caption"": ""someone is holding a small jar with blue beads in it""}, {""time"": 25.0, ""caption"": ""someone is holding a jar of blue liquid with a small amount of blue beads""}, {""time"": 26.0, ""caption"": ""there is a blue flower with a small blue bead on it""}, {""time"": 27.0, ""caption"": ""there is a blue flower with a tiny blue bead on it""}, {""time"": 28.0, ""caption"": ""someone is holding a small bottle with a blue substance in it""}, {""time"": 29.0, ""caption"": ""someone is holding a small bottle with a blue substance in it""}, {""time"": 30.0, ""caption"": ""someone is holding a small bottle with a blue substance in it""}, {""time"": 31.0, ""caption"": ""someone is holding a small glass jar with a liquid inside""}, {""time"": 32.0, ""caption"": ""someone holding a fan of money in their hand in front of a glass case""}, {""time"": 33.0, ""caption"": ""someone holding a fan of money in front of a display case""}, {""time"": 34.0, ""caption"": ""someone is holding a small bead in their hands""}, {""time"": 35.0, ""caption"": ""someone is holding a bead in their hands while wearing gloves""}, {""time"": 36.0, ""caption"": ""someone is holding a small bottle of blue beads on a plate""}, {""time"": 37.0, ""caption"": ""someone is holding a small bottle of blue beads on a plate""}, {""time"": 38.0, ""caption"": ""someone is holding a bottle of blue beads on a plate""}, {""time"": 39.0, ""caption"": ""someone is holding a bottle of blue beads on a plate""}, {""time"": 40.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue glove""}, {""time"": 41.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue glove""}, {""time"": 42.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue glove""}, {""time"": 43.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue glove""}, {""time"": 44.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue glove""}, {""time"": 45.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue glove""}, {""time"": 46.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue glove""}, {""time"": 47.0, ""caption"": ""someone is putting blue beads on a metal plate with a blue liquid""}]"
673ed3932607c1b3803d3043,"[{""time"": 0.0, ""caption"": ""a close up of a display of jewelry on a shelf""}, {""time"": 1.0, ""caption"": ""a close up of a necklace and earrings on display on a table""}, {""time"": 2.0, ""caption"": ""a close up of a necklace and earrings on a table""}, {""time"": 3.0, ""caption"": ""a close up of a necklace and earrings on a table""}, {""time"": 4.0, ""caption"": ""a close up of a necklace and earrings on a table""}, {""time"": 5.0, ""caption"": ""a close up of a necklace and earrings in a box""}, {""time"": 6.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 7.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 8.0, ""caption"": ""purple box of chocolates on a table with a calculator""}, {""time"": 9.0, ""caption"": ""there are people standing in a room with a glass table""}, {""time"": 10.0, ""caption"": ""people are shopping at a jewelry store with a large display of blue bracelets""}]"
673ed3952607c1b3803d3044,"[{""time"": 0.0, ""caption"": ""there is a blue stream of water running through a rocky area""}, {""time"": 1.0, ""caption"": ""there is a blue tarp covering a mountain with rocks""}, {""time"": 2.0, ""caption"": ""there is a blue rock covered mountain with rocks and gravel""}, {""time"": 3.0, ""caption"": ""there is a blue plastic bag on the ground in the mountains""}, {""time"": 4.0, ""caption"": ""there is a blue rock formation in the middle of a mountain""}, {""time"": 5.0, ""caption"": ""there is a blue rock field with a mountain in the background""}]"
673ed3962607c1b3803d3045,"[{""time"": 0.0, ""caption"": ""there are people that are standing on the water in the water""}, {""time"": 1.0, ""caption"": ""there are people that are working on a blue stream""}, {""time"": 2.0, ""caption"": ""there are people walking on the ice in the water""}, {""time"": 3.0, ""caption"": ""there are people working on a blue plastic stream""}, {""time"": 4.0, ""caption"": ""there are people walking on a blue river with rocks""}, {""time"": 5.0, ""caption"": ""there are people working on a river that is covered in blue plastic""}]"
673ed3982607c1b3803d3046,"[{""time"": 0.0, ""caption"": ""there is a man with blue paint on his face standing next to a sign""}, {""time"": 1.0, ""caption"": ""there is a man that is standing in front of a sign""}, {""time"": 2.0, ""caption"": ""there is a man with blue paint on his face and hands""}, {""time"": 3.0, ""caption"": ""two men in blue paint are standing next to a sign""}, {""time"": 4.0, ""caption"": ""there are two men with blue paint on their faces standing next to a sign""}, {""time"": 5.0, ""caption"": ""there are two men that are standing in a room with blue paint""}, {""time"": 6.0, ""caption"": ""there are two men that are painted blue and one is holding a blue man""}, {""time"": 7.0, ""caption"": ""two men in blue paint are standing in a lobby""}, {""time"": 8.0, ""caption"": ""arafed man in blue gloves and white shirt standing next to a sign""}, {""time"": 9.0, ""caption"": ""there is a man with blue paint on his face standing in front of a sign""}, {""time"": 10.0, ""caption"": ""there is a man with blue paint on his face and hands""}, {""time"": 11.0, ""caption"": ""there is a man walking down an escalator with a sign on it""}, {""time"": 12.0, ""caption"": ""there is a man that is standing in front of an escalator""}, {""time"": 13.0, ""caption"": ""there is a sign that says gold rate on the side of a building""}]"
673ed39a2607c1b3803d3047,"[{""time"": 0.0, ""caption"": ""arafed man in white shirt and blue face paint looking at cell phone""}, {""time"": 1.0, ""caption"": ""a man looking at a display case with a blue and gold jewelry""}, {""time"": 2.0, ""caption"": ""arafed man in a white shirt and blue face paint looking at a jewelry display""}, {""time"": 3.0, ""caption"": ""a close up of a person in a blue glove and gloves""}, {""time"": 4.0, ""caption"": ""a close up of a person in a lab with a tray of blue beads""}, {""time"": 5.0, ""caption"": ""a close up of a glass display case with blue beads""}, {""time"": 6.0, ""caption"": ""a close up of a display case with blue beads on it""}, {""time"": 7.0, ""caption"": ""there is a person that is making something in a glass case""}, {""time"": 8.0, ""caption"": ""there is a glass display case with a lot of different items""}, {""time"": 9.0, ""caption"": ""a close up of a display case filled with lots of blue buttons""}, {""time"": 10.0, ""caption"": ""a close up of a display case filled with lots of blue buttons""}, {""time"": 11.0, ""caption"": ""a close up of a display case with blue buttons on it""}, {""time"": 12.0, ""caption"": ""a close up of a glass floor with a lot of coins on it""}, {""time"": 13.0, ""caption"": ""there is a woman standing in front of a display case with a lot of tools""}, {""time"": 14.0, ""caption"": ""there is a display case with a lot of items on it""}, {""time"": 15.0, ""caption"": ""a close up of a person standing in front of a counter with a lot of items""}, {""time"": 16.0, ""caption"": ""arafed machine with a blue glass surface and a man in a white shirt""}, {""time"": 17.0, ""caption"": ""there is a blue and white tile with a cross on it""}, {""time"": 18.0, ""caption"": ""there are two women standing at a counter with a glass display""}, {""time"": 19.0, ""caption"": ""there are two people working on a glass counter top""}]"
673ed39d2607c1b3803d3048,"[{""time"": 0.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 1.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 2.0, ""caption"": ""a close up of a necklace and earrings on display in a box""}, {""time"": 3.0, ""caption"": ""a close up of a necklace and earrings on display in a glass case""}, {""time"": 4.0, ""caption"": ""a close up of a necklace and earrings on display in a box""}, {""time"": 5.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 6.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 7.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 8.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 9.0, ""caption"": ""a close up of a box with a necklace and earrings in it""}, {""time"": 10.0, ""caption"": ""there are two men sitting at a table with a cake in a box""}, {""time"": 11.0, ""caption"": ""there are two men sitting at a table with a box of cake""}, {""time"": 12.0, ""caption"": ""two men sitting at a table with a box of gold""}, {""time"": 13.0, ""caption"": ""there are two men sitting at a table with a cake""}, {""time"": 14.0, ""caption"": ""there are two men sitting at a table with a glass case""}, {""time"": 15.0, ""caption"": ""there are two men sitting at a table with a cake""}, {""time"": 16.0, ""caption"": ""there are two men sitting at a table with a laptop""}, {""time"": 17.0, ""caption"": ""there are two men sitting at a table with a cake""}, {""time"": 18.0, ""caption"": ""two men sitting at a table with a box of cake""}, {""time"": 19.0, ""caption"": ""there is a man holding a bottle of liquid in his hand""}, {""time"": 20.0, ""caption"": ""there is a man that is holding a carrot in his hand""}, {""time"": 21.0, ""caption"": ""there is a man that is holding a fake tiger in his hand""}, {""time"": 22.0, ""caption"": ""there is a man with blue paint on his face holding a piece of food""}, {""time"": 23.0, ""caption"": ""purple bag with a diamond logo on it being held by a person""}, {""time"": 24.0, ""caption"": ""there is a man holding a purple bag in his hands""}, {""time"": 25.0, ""caption"": ""there is a man that is making a blue man with a purple object""}, {""time"": 26.0, ""caption"": ""there are two men sitting at a table with a box of jewelry""}, {""time"": 27.0, ""caption"": ""there are two men sitting at a table with a cell phone""}, {""time"": 28.0, ""caption"": ""there is a man that is painting a picture on a table""}, {""time"": 29.0, ""caption"": ""there is a man that is painting a picture on a box""}, {""time"": 30.0, ""caption"": ""there is a man that is sitting at a table with a box of jewelry""}, {""time"": 31.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 32.0, ""caption"": ""a close up of a box with a necklace and earrings""}, {""time"": 33.0, ""caption"": ""a close up of a box with a necklace and earrings""}]"
673ed39f2607c1b3803d3049,"[{""time"": 0.0, ""caption"": ""a close up of a frog sitting on a pile of coins""}, {""time"": 1.0, ""caption"": ""a close up of a frog sitting on a pile of coins""}, {""time"": 2.0, ""caption"": ""a close up of a frog sitting on a pile of coins""}, {""time"": 3.0, ""caption"": ""a close up of a frog sitting on a pile of coins""}, {""time"": 4.0, ""caption"": ""a close up of a frog sitting on a pile of coins""}, {""time"": 5.0, ""caption"": ""a close up of a frog sitting on a pile of coins""}]"
673ed3a52607c1b3803d304a,"[{""time"": 0.0, ""caption"": ""araffe in a purple dress standing in a room with blue lights""}, {""time"": 1.0, ""caption"": ""araffe in a blue and purple outfit is dancing in a store""}, {""time"": 2.0, ""caption"": ""araffes in a blue and purple dress are dancing in a store""}, {""time"": 3.0, ""caption"": ""brides in blue and purple dresses are dancing in a mall""}, {""time"": 4.0, ""caption"": ""araffes in a blue and purple outfit are dancing in a store""}, {""time"": 5.0, ""caption"": ""araffes in a store with a woman in a purple dress""}, {""time"": 6.0, ""caption"": ""araffe dressed in a purple and blue outfit dancing in a room""}, {""time"": 7.0, ""caption"": ""araffes in a blue dress and a purple dress are dancing""}, {""time"": 8.0, ""caption"": ""several women in colorful dresses are dancing in a room""}, {""time"": 9.0, ""caption"": ""there is a woman in a purple dress holding a cell phone""}, {""time"": 10.0, ""caption"": ""two women in purple and blue outfits are dancing in a mall""}, {""time"": 11.0, ""caption"": ""brides in blue and purple dresses dancing in a room""}, {""time"": 12.0, ""caption"": ""bride in purple and blue dress dancing in a mall""}, {""time"": 13.0, ""caption"": ""brides in traditional indian attire dancing in a hall""}, {""time"": 14.0, ""caption"": ""araffe woman in a purple and blue outfit dancing in a mall""}, {""time"": 15.0, ""caption"": ""several women in saris are dancing in a room with a ceiling fan""}, {""time"": 16.0, ""caption"": ""several women in colorful dresses are dancing in a room""}, {""time"": 17.0, ""caption"": ""araffes in a blue and purple dress are dancing in a mall""}, {""time"": 18.0, ""caption"": ""bride in purple and blue dress dancing in a dance studio""}, {""time"": 19.0, ""caption"": ""bride in blue sari dancing with friends in a mall""}, {""time"": 20.0, ""caption"": ""several women in blue dresses are dancing in a mall""}, {""time"": 21.0, ""caption"": ""several women in blue dresses are dancing in a room""}, {""time"": 22.0, ""caption"": ""brides in blue dresses dancing in a dance studio with their hands in the air""}, {""time"": 23.0, ""caption"": ""araffes in a group of people in a room with a ceiling fan""}, {""time"": 24.0, ""caption"": ""bride in purple and blue outfit dancing in a dance studio""}, {""time"": 25.0, ""caption"": ""several women in colorful outfits are dancing in a room""}, {""time"": 26.0, ""caption"": ""araffe woman in a purple sari dancing in a room""}, {""time"": 27.0, ""caption"": ""several women in blue dresses are dancing in a room""}, {""time"": 28.0, ""caption"": ""several women in blue and green dresses are dancing in a mall""}, {""time"": 29.0, ""caption"": ""several women in colorful dresses are dancing in a room""}, {""time"": 30.0, ""caption"": ""brides in traditional indian attire dancing in a dance studio""}, {""time"": 31.0, ""caption"": ""several women in colorful dresses are dancing in a room""}, {""time"": 32.0, ""caption"": ""bride in blue and purple dress dancing with friends in a room""}, {""time"": 33.0, ""caption"": ""several women in colorful dresses are dancing in a room""}, {""time"": 34.0, ""caption"": ""araffes in a blue dress are dancing in a mall""}, {""time"": 35.0, ""caption"": ""araffe dressed in a purple and blue outfit dancing in a room""}, {""time"": 36.0, ""caption"": ""bride in a blue and purple leheni with purple shawl""}, {""time"": 37.0, ""caption"": ""bride in purple and blue dress dancing in a hall with other brides""}, {""time"": 38.0, ""caption"": ""araffes in a blue and purple outfit are dancing in a mall""}, {""time"": 39.0, ""caption"": ""several women in colorful dresses are dancing in a room""}, {""time"": 40.0, ""caption"": ""brides in blue and purple dresses dancing in a hall""}, {""time"": 41.0, ""caption"": ""araffes in a group of women in colorful dresses dancing""}, {""time"": 42.0, ""caption"": ""araffe woman in a purple outfit dancing in a room""}, {""time"": 43.0, ""caption"": ""bride in a blue and purple lehenga dancing in a dance studio""}, {""time"": 44.0, ""caption"": ""bride in purple and blue dress talking on cell phone in mirror""}, {""time"": 45.0, ""caption"": ""bride in purple and blue dress walking through a crowd of women""}, {""time"": 46.0, ""caption"": ""araffes in a group of women in colorful outfits dancing""}, {""time"": 47.0, ""caption"": ""bride in purple and blue dress dancing in a mall""}, {""time"": 48.0, ""caption"": ""several women in colorful dresses are dancing in a room""}, {""time"": 49.0, ""caption"": ""araffes in a blue and purple dress dancing in a mall""}, {""time"": 50.0, ""caption"": ""several women in colorful outfits are dancing in a brightly lit room""}, {""time"": 51.0, ""caption"": ""a poster for the grand opening of the new ms gold""}, {""time"": 52.0, ""caption"": ""a poster for the grand opening of the ms gold grand opening""}, {""time"": 53.0, ""caption"": ""a poster for the grand opening of the ms gold jewellery show""}, {""time"": 54.0, ""caption"": ""a poster for the grand opening of ms gold""}, {""time"": 55.0, ""caption"": ""a poster for the grand opening of the mss grand opening""}]"
673ed3aa2607c1b3803d304b,"[{""time"": 0.0, ""caption"": ""arafed woman in a purple jacket standing in front of a display case of jewelry""}, {""time"": 1.0, ""caption"": ""arafed woman in a purple jacket standing in front of a display of jewelry""}, {""time"": 2.0, ""caption"": ""arafed woman in purple jacket standing in front of a display of jewelry""}, {""time"": 3.0, ""caption"": ""a close up of a woman in a purple jacket and black scarf""}, {""time"": 4.0, ""caption"": ""arafed woman in purple jacket and black scarf standing in front of jewelry store""}, {""time"": 5.0, ""caption"": ""arafed woman in purple jacket and black scarf standing in front of jewelry display""}, {""time"": 6.0, ""caption"": ""arafed woman in a purple jacket and black scarf standing in front of a jewelry store""}, {""time"": 7.0, ""caption"": ""arafed woman in a purple jacket and black scarf standing in front of a jewelry store""}, {""time"": 8.0, ""caption"": ""arafed woman in a purple jacket and black scarf standing in front of a display case of""}, {""time"": 9.0, ""caption"": ""arafed woman in a purple jacket standing in front of a display of jewelry""}, {""time"": 10.0, ""caption"": ""arafed woman in a purple jacket standing in front of a display of jewelry""}, {""time"": 11.0, ""caption"": ""arafed woman in purple jacket standing in front of jewelry display""}, {""time"": 12.0, ""caption"": ""a close up of a woman in a purple jacket and black scarf""}, {""time"": 13.0, ""caption"": ""arafed woman in purple jacket and black scarf standing in front of jewelry display""}, {""time"": 14.0, ""caption"": ""arafed woman in a purple jacket and black scarf standing in front of a display of jewelry""}, {""time"": 15.0, ""caption"": ""a close up of a woman in a purple jacket and a purple jacket""}, {""time"": 16.0, ""caption"": ""arafed woman in a purple jacket and black scarf standing in front of a display of jewelry""}, {""time"": 17.0, ""caption"": ""arafed woman in a purple jacket and black scarf standing in front of a display of jewelry""}, {""time"": 18.0, ""caption"": ""arafed woman in a purple jacket standing in front of a display of jewelry""}, {""time"": 19.0, ""caption"": ""arafed woman in purple jacket standing in front of jewelry display""}, {""time"": 20.0, ""caption"": ""arafed woman in a purple jacket and black scarf standing in front of a jewelry store""}, {""time"": 21.0, ""caption"": ""arafed woman in a purple jacket and black scarf standing in front of a display of jewelry""}, {""time"": 22.0, ""caption"": ""a close up of a person holding a bracelet with a blue string""}, {""time"": 23.0, ""caption"": ""someone is holding a bracelet with a blue string on it""}, {""time"": 24.0, ""caption"": ""someone is holding a bracelet with a blue string on it""}, {""time"": 25.0, ""caption"": ""someone is holding a blue bracelet with a blue string""}, {""time"": 26.0, ""caption"": ""someone is holding a bracelet with a blue string on it""}, {""time"": 27.0, ""caption"": ""someone is holding a bracelet with a blue string on it""}, {""time"": 28.0, ""caption"": ""someone is holding a bracelet with a blue string on it""}, {""time"": 29.0, ""caption"": ""there is a person holding a bracelet with a blue bead""}, {""time"": 30.0, ""caption"": ""someone is holding a bracelet with a blue bead on it""}, {""time"": 31.0, ""caption"": ""a close up of a person holding a bracelet with a blue bead""}, {""time"": 32.0, ""caption"": ""a close up of a person holding a bracelet with a blue bead""}, {""time"": 33.0, ""caption"": ""a close up of a person holding a long chain of beads""}, {""time"": 34.0, ""caption"": ""a close up of a person holding a bracelet with a blue bead""}, {""time"": 35.0, ""caption"": ""someone is holding a bracelet with a blue bead on it""}, {""time"": 36.0, ""caption"": ""someone is holding a bracelet with a blue bead on it""}, {""time"": 37.0, ""caption"": ""someone is holding a bracelet with a blue bead on it""}, {""time"": 38.0, ""caption"": ""a close up of a person holding a bracelet with a blue bead""}, {""time"": 39.0, ""caption"": ""someone is holding a bracelet with a blue bead on it""}, {""time"": 40.0, ""caption"": ""a close up of a person holding a bracelet with a blue bead""}, {""time"": 41.0, ""caption"": ""there is a woman holding a bracelet with a bunch of beads on it""}, {""time"": 42.0, ""caption"": ""a close up of a person holding a bracelet with a blue background""}, {""time"": 43.0, ""caption"": ""a close up of a person holding a bracelet with a blue background""}, {""time"": 44.0, ""caption"": ""a close up of a person holding a bracelet with a bunch of silver wires""}, {""time"": 45.0, ""caption"": ""a close up of a person holding a bracelet with a ring on it""}, {""time"": 46.0, ""caption"": ""a close up of a person holding a bracelet with a ring on it""}, {""time"": 47.0, ""caption"": ""a close up of a person holding a bracelet with a ring on it""}, {""time"": 48.0, ""caption"": ""there is a woman holding a bracelet with a bunch of beads on it""}, {""time"": 49.0, ""caption"": ""a close up of a person holding a bracelet with a blue bead""}, {""time"": 50.0, ""caption"": ""a close up of a person holding a bracelet with a blue bead""}, {""time"": 51.0, ""caption"": ""a close up of a person holding a bracelet with a blue bead""}, {""time"": 52.0, ""caption"": ""a close up of a person wearing a bracelet with a blue bead""}, {""time"": 53.0, ""caption"": ""a close up of a person holding a bracelet with a blue bead""}, {""time"": 54.0, ""caption"": ""a close up of a person holding a bracelet with a blue string""}, {""time"": 55.0, ""caption"": ""a close up of a person holding a bracelet with a blue string""}, {""time"": 56.0, ""caption"": ""a close up of a person wearing a bracelet with a blue bead""}, {""time"": 57.0, ""caption"": ""a close up of a person holding a bracelet with a blue string""}, {""time"": 58.0, ""caption"": ""a close up of a person holding a bracelet with a blue string""}, {""time"": 59.0, ""caption"": ""a close up of a person holding a bracelet with a blue string""}, {""time"": 60.0, ""caption"": ""a close up of a person holding a bracelet with a blue string""}, {""time"": 61.0, ""caption"": ""a close up of a person holding a bracelet with a blue string""}]"
