platform,_id,title,description,link,trigger_word,crawled_at
News,6d0a6d9c-8fc2-4a5f-9c07-67b330a5b26b_1,Innovent Announces First-Time Inclusion of SINTBILO® and New Indication for Olverembatinib in China's National Reimbursement Drug List,"SAN FRANCISCO and SUZHOU, China, Nov. 28, 2024 /PRNewswire/ -- Innovent Biologics, Inc. (""Innovent"") (HKEX: 01801), a world-class biopharmaceutical company that develops, manufactures and commercializes high quality medicines for the treatment of oncology, cardiovascular and metabolic,...",https://www.prnewswire.com/apac/news-releases/innovent-announces-first-time-inclusion-of-sintbilo-and-new-indication-for-olverembatinib-in-chinas-national-reimbursement-drug-list-302318023.html,type c,2024-11-29 14:48:04
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_1,FBM KLCI settles flat at midday; Supreme Consolidated surges 34% on debut,"KUALA LUMPUR: The FBM KLCI managed to recover some of its earlier losses by midday, with the index trading down by a negligible 0.01%. Read full story",https://www.thestar.com.my/business/business-news/2024/11/29/fbm-klci-settles-flat-at-midday-supreme-consolidated-surges-34-on-debut,petronas,2024-11-29 14:49:53
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_10,FBM KLCI closes higher on utility stock gains,Bursa Malaysia finished slightly higher yesterday as gains in utility stocks helped offset selling pressure in the plantation sector. Read full story,https://www.thestar.com.my/business/business-news/2024/11/28/fbm-klci-closes-higher-on-utility-stock-gains,petronas,2024-11-29 14:49:53
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_2,Ananda Krishnan's Son Gave Up Billion-Dollar Fortune To Become A Monk. Here's His Story,"Ven Ajahn Siripanyo also has royal blood, as his mother is a descendant of the Thai royal family.",https://says.com/my/news/ananda-krishnan-s-son-gave-up-billion-dollar-fortune-become-a-monk,petronas,2024-11-29 14:49:53
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_3,Who Is Ananda Krishnan? Understanding The Man Behind The Telecommunications & Media Empire,The media mogul was key to Live Aid 1985 coming to life!,https://says.com/my/lifestyle/who-is-ananda-krishnan,petronas,2024-11-29 14:49:53
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_4,Bursa Malaysia opens lower as selling pressure weighs on market sentiment,"KUALA LUMPUR: Bursa Malaysia opened lower in early trade as selling pressure on selected heavyweight stocks dampened overall market sentiment, reflecting cautious investor behaviour. Read full story",https://www.thestar.com.my/business/business-news/2024/11/29/bursa-malaysia-opens-lower-as-selling-pressure-weighs-on-market-sentiment,petronas,2024-11-29 14:49:53
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_5,From Brickfields boy to billionaire businessman: How Ananda Krishnan shaped corporate Malaysia,"KUALA LUMPUR, Nov 28 — Ananda Krishnan, who died today aged 86, leaves an indelible mark in corporate Malaysia having fo...",https://www.malaymail.com/news/malaysia/2024/11/28/from-brickfields-boy-to-billionaire-businessman-how-ananda-krishnan-shaped-corporate-malaysia/158329,petronas,2024-11-29 14:49:53
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_6,"Malaysian billionaire T. Ananda Krishnan, founder of Maxis telco and Astro media firm, dies at 86","The businessman, said to be a close associate of former prime minister Mahathir Mohamad, is also known for his pivotal role in the development of iconic landmarks such as the Petronas Twin Towers and its surroundings.",https://www.channelnewsasia.com/asia/malaysia-tycoon-ananda-krishnan-dies-4776151,petronas,2024-11-29 14:49:53
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_7,"Bursa falls below 1,600 level, tycoon Ananda Krishnan’s companies see shares decline","KUALA LUMPUR, Nov 28 — Bursa Malaysia extended its downtrend in mid-afternoon trade with the benchmark index below the c...",https://www.malaymail.com/news/money/2024/11/28/bursa-falls-below-1600-level-tycoon-ananda-krishnans-companies-see-shares-decline/158299,petronas,2024-11-29 14:49:53
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_8,Bursa wraps up morning session slightly in red as decliners dominate,"KUALA LUMPUR: Bursa Malaysia pared earlier gains to end the morning session slightly in the red as selling outpaced buying on a lack of catalysts, especially with US markets closing on Thursday for the Thanksgiving holiday. Read full story",https://www.thestar.com.my/business/business-news/2024/11/28/bursa-wraps-up-morning-session-slightly-in-red-as-decliners-dominate,petronas,2024-11-29 14:49:53
News,76c275e6-4ab8-4337-8f42-c40cf6e0eac6_9,"Trading ideas: Binastra, Catcha, IJM, Vanzo, JFTech, BHIC, Affin, LGMS, Paramount, AMB, PetGas, Kerjaya, Inari, FGV",KUALA LUMPUR: Here is a recap of the announcements that made headlines in Corporate Malaysia. Read full story,https://www.thestar.com.my/business/business-news/2024/11/28/trading-ideas-binastra-catcha-ijm-vanzo-jftech-bhic-affin-lgms-paramount-amb-petgas-kerjaya-inari-fgv,petronas,2024-11-29 14:49:53
News,ae6894a0-4ca1-4041-af60-972181ffa001_1,"Egypt Energy exhibition highlights innovations in renewable energy, power solutions","CAIRO, Nov. 28 (Xinhua) -- The 33rd edition of the Egypt Energy exhibition concluded here on Thursday, showcasing innovations in renewable energy technologies and power solutions. Read full story",https://www.thestar.com.my/news/world/2024/11/29/egypt-energy-exhibition-highlights-innovations-in-renewable-energy-power-solutions,arab,2024-11-29 14:49:15
News,ae6894a0-4ca1-4041-af60-972181ffa001_10,Gender earnings gap remains in Canada: study,"OTTAWA, Nov. 27 (Xinhua) -- The average annual earnings of women were lower than those of men in all Canadian population groups, Statistics Canada said on Wednesday. Read full story",https://www.thestar.com.my/news/world/2024/11/28/gender-earnings-gap-remains-in-canada-study,arab,2024-11-29 14:49:15
News,ae6894a0-4ca1-4041-af60-972181ffa001_2,LEQEMBI (Lecanemab) For The Treatment Of Alzheimer's Disease Launched In South Korea,"(MENAFN - JCN NewsWire) ""LEQEMBI"" (Lecanemab) for the Treatment of Alzheimer's Disease Launched in South Korea TOKYO and CAMBRIDGE, Mass., Nov 28, 2024 - (JCN Newswire) - Eisai Co., Ltd. ...",https://menafn.com/1108936789/LEQEMBI-Lecanemab-For-The-Treatment-Of-Alzheimers-Disease-Launched-In-South-Korea,arab,2024-11-29 14:49:15
News,ae6894a0-4ca1-4041-af60-972181ffa001_3,"Kelantan floods worse than 2014's 'bah kuning' disaster, say residents","KOTA BARU: Residents here are say the floods Kelantan is experiencing now are worse than the 'Bah Kuning' (yellow-coloured floods, caused by high mud content in the water) disaster in 2014. Read full story",https://www.thestar.com.my/news/nation/2024/11/28/kelantan-floods-worse-than-2014039s-039bah-kuning039-disaster-say-residents,arab,2024-11-29 14:49:15
News,ae6894a0-4ca1-4041-af60-972181ffa001_4,OPEC+ meeting postponed to Dec 5,"VIENNA: The ministerial meeting of the OPEC+ alliance initially scheduled for Sunday has been pushed back to Dec 5, the Vienna-based Organization of the Petroleum Exporting Countries (OPEC) said Thursday.",https://www.nst.com.my/business/corporate/2024/11/1140986/opec-meeting-postponed-dec-5,arab,2024-11-29 14:49:15
News,ae6894a0-4ca1-4041-af60-972181ffa001_5,Malaysia ready to review reservation to Genocide Convention's Article 9,"KUALA LUMPUR: The government is ready to review Malaysia’s reservation to Article 9 of the 1948 Genocide Convention, the Dewan Rakyat heard today.",https://www.nst.com.my/news/nation/2024/11/1140961/malaysia-ready-review-reservation-genocide-conventions-article-9,arab,2024-11-29 14:49:15
News,ae6894a0-4ca1-4041-af60-972181ffa001_6,Israel-Hezbollah ceasefire shows Iran a paper tiger,"The Israel-Hezbollah ceasefire not only achieves Prime Minister Benjamin Netanyahu’s minimal goals of driving the Shiite Muslim militia away from Israel’s northern border and severely weakening its military capabilities but also shows its chief backer and enabler, Iran, to be a floundering paper tiger. The truce has distanced Hezbollah from its self-declared alliance with Hamas, [...]The post Israel-Hezbollah ceasefire shows Iran a paper tiger appeared first on Asia Times.",https://asiatimes.com/2024/11/israel-hezbollah-ceasefire-shows-iran-a-paper-tiger/,arab,2024-11-29 14:49:15
