2024-12-12 12:13:57,261 | INFO    | Request 20241212_121357_260382 | Input text: testing
2024-12-12 12:13:58,637 | INFO    | Request 20241212_121357_260382 | Generated summary: The term "testing" refers to the process of evaluating or assessing the quality, performance, or functionality of a product, system, or individual, often to identify defects, weaknesses, or areas for improvement, and can be applied in various contexts, including software development, education, and quality control, with the ultimate goal of ensuring reliability, efficiency, and effectiveness.
2024-12-12 12:13:58,637 | INFO    | Request 20241212_121357_260382 | Processing time: 1374ms
2024-12-12 12:14:05,641 | INFO    | Request 20241212_121405_641622 | Input text: Centralised Embedding Server Setup  Follow 1  Edit  Goldius Leonard Nov 18 Setup Prerequisites Connect to the LLM VM Server through SSH  ssh llmuser@172.210.166.80 Enter the password after running the command above.  Install nvidia-driver  sudo ubuntu-drivers install nvidia https://ubuntu.com/server/docs/nvidia-drivers-installation   How to Setup Centralised Embedding Server  sh build.sh sh main.sh Download Centralised Embedding centralized_embedding.zip   Usage Get list of embedding models deployed   import requests model_list = requests.get("http://172.210.166.80:9001/models") print(model_list) Embed text  import requests import ast  embedded_query = requests.get(     "http://172.210.166.80:9001/embedPromt",     params={         "promt": "hi",         "model": "nomic-ai/nomic-embed-text-v1:search_query", # follow the model list     } )  embedded_query = ast.literal_eval(embedded_query.content.decode("utf-8")) Embed multiple text  import requests import ast  embedded_queries = requests.post(     "http://172.210.166.80:9001/embedPrompt",     params={         "model": "nomic-ai/nomic-embed-text-v1:search_query", # follow the model list     },     json=[         "hi",         "hello",     ] )  embedded_queries = ast.literal_eval(embedded_queries.content.decode("utf-8"))
2024-12-12 12:14:06,819 | INFO    | Request 20241212_121405_641622 | Generated summary: To set up a Centralised Embedding Server, connect to the LLM VM Server via SSH, install the nvidia-driver, and run build and main scripts to download and deploy the server, then use API requests to embed single or multiple texts using various models.
2024-12-12 12:14:06,819 | INFO    | Request 20241212_121405_641622 | Processing time: 1178ms
2024-12-12 12:33:49,835 | INFO    | Request 20241212_123349_835655 | Input text: [{'time': 0.0, 'caption': 'there is a woman sitting at a desk with a cell phone'}, {'time': 1.0, 'caption': 'there is a woman sitting at a desk with a cell phone'}, {'time': 2.0, 'caption': 'there is a woman sitting at a desk with a cell phone'}, {'time': 3.0, 'caption': 'there is a woman sitting at a table with a cell phone'}, {'time': 4.0, 'caption': 'they are two women sitting on a couch playing a video game'}, {'time': 5.0, 'caption': 'they are two women sitting on a couch playing a video game'}, {'time': 6.0, 'caption': 'they are two people playing a video game together on the couch'}, {'time': 7.0, 'caption': 'they are two women sitting on a couch playing a video game'}, {'time': 8.0, 'caption': 'they are two people sitting on a couch playing a video game'}, {'time': 9.0, 'caption': 'they are two women sitting on a couch playing a video game'}] My qiina @HG qii. #typeC #typeM
2024-12-12 12:33:50,958 | INFO    | Request 20241212_123349_835655 | Generated summary: A woman is initially shown sitting at a desk with a cell phone, later switching to a table, before the scene changes to two women playing a video game together on a couch, with slight variations in the descriptions of the people and their activities over time.
2024-12-12 12:33:50,958 | INFO    | Request 20241212_123349_835655 | Processing time: 1122ms
2024-12-12 12:35:59,322 | INFO    | Request 20241212_123559_322324 | Input text: [{'time': 0.0, 'caption': 'there is a woman sitting at a desk with a cell phone'}, {'time': 1.0, 'caption': 'there is a woman sitting at a desk with a cell phone'}, {'time': 2.0, 'caption': 'there is a woman sitting at a desk with a cell phone'}, {'time': 3.0, 'caption': 'there is a woman sitting at a table with a cell phone'}, {'time': 4.0, 'caption': 'they are two women sitting on a couch playing a video game'}, {'time': 5.0, 'caption': 'they are two women sitting on a couch playing a video game'}, {'time': 6.0, 'caption': 'they are two people playing a video game together on the couch'}, {'time': 7.0, 'caption': 'they are two women sitting on a couch playing a video game'}, {'time': 8.0, 'caption': 'they are two people sitting on a couch playing a video game'}, {'time': 9.0, 'caption': 'they are two women sitting on a couch playing a video game'}] My qiina @HG qii. #typeC #typeM
2024-12-12 12:36:00,311 | INFO    | Request 20241212_123559_322324 | Generated summary: A woman is shown sitting at a desk with a cell phone, then at a table, before the scene changes to two women sitting on a couch playing a video game together, with slight variations in the captions but the same overall scene.
